,Unnamed: 0,Client ID,Client tenure year,Client tenure month,Client age,Gender,Number of accounts,Balance,Calls in the last 6 months,Log ons in the last 6 months,Variation,confirm,start,step_1,step_2,step_3,visit_duration
42952,42952,1616828,7.0,90.0,66.0,U,2.0,157776.93,4.0,7.0,Test,1,2,2,2,2,42
42953,42953,1300224,4.0,59.0,24.0,U,3.0,27937.08,6.0,9.0,Test,1,1,1,1,1,1
42955,42955,6490503,5.0,63.0,65.0,M,2.0,39490.17,2.0,5.0,Control,0,2,1,1,0,2
42956,42956,9509464,25.0,310.0,48.0,M,2.0,73328.89,6.0,9.0,Test,1,4,3,2,2,3
42957,42957,669361,4.0,59.0,24.0,U,3.0,62158.44,6.0,9.0,Control,1,1,1,1,1,2
42958,42958,9889578,8.0,104.0,44.0,F,2.0,40567.34,5.0,8.0,Test,1,2,1,1,1,13
42959,42959,6411934,15.0,188.0,57.0,F,2.0,33945.02,1.0,4.0,Test,0,3,1,0,0,2
42960,42960,715813,6.0,72.0,72.0,M,3.0,45217.0,6.0,9.0,Control,2,1,1,1,1,5
42961,42961,9359544,8.0,107.0,26.0,F,3.0,119561.27,2.0,5.0,Test,0,3,0,0,0,1
42962,42962,4352988,7.0,85.0,36.0,M,3.0,123322.21,4.0,7.0,Control,1,1,1,1,1,5
42963,42963,9229,8.0,105.0,42.0,M,2.0,78242.15,6.0,9.0,Control,0,3,3,2,0,2
42964,42964,7470491,14.0,179.0,26.0,F,2.0,81600.22,0.0,3.0,Test,1,1,1,1,1,5
42965,42965,6075049,13.0,167.0,35.0,M,2.0,24983.03,4.0,7.0,Control,1,1,1,1,1,2
42966,42966,7610751,14.0,169.0,65.0,F,2.0,42525.59,4.0,7.0,Control,0,14,2,2,2,2
42967,42967,2712519,11.0,136.0,33.0,M,2.0,27222.09,1.0,4.0,Control,1,2,2,2,1,5
42968,42968,4189206,22.0,275.0,51.0,M,2.0,106022.75,5.0,8.0,Control,0,3,3,3,1,1
42970,42970,2449816,20.0,251.0,64.0,M,2.0,153964.64,0.0,3.0,Test,0,7,6,2,2,22
42971,42971,3290852,20.0,250.0,63.0,M,3.0,96254.46,1.0,4.0,Test,0,3,2,1,2,1
42972,42972,1140645,20.0,243.0,60.0,M,2.0,34897.47,3.0,6.0,Test,2,2,2,1,1,1
42973,42973,2541450,19.0,234.0,52.0,F,3.0,70735.34,2.0,5.0,Test,0,4,3,2,0,3
42975,42975,7916658,10.0,125.0,40.0,M,2.0,72487.07,5.0,8.0,Test,0,4,2,0,0,0
42976,42976,6837612,11.0,137.0,32.0,M,3.0,61272.41,6.0,9.0,Test,1,1,1,1,1,1
42977,42977,5410439,16.0,203.0,56.0,F,2.0,115895.67,5.0,8.0,Control,1,1,1,1,1,8
42978,42978,3075138,7.0,84.0,31.0,U,2.0,30396.74,0.0,3.0,Test,1,1,1,1,1,3
42979,42979,76775,16.0,196.0,67.0,M,2.0,23853.6,4.0,7.0,Test,0,1,1,0,0,0
42980,42980,2057277,5.0,69.0,26.0,U,2.0,51566.29,6.0,9.0,Control,0,4,6,1,0,5
42981,42981,6752440,13.0,160.0,42.0,M,2.0,145371.37,3.0,6.0,Test,0,1,2,1,0,2
42982,42982,4969168,11.0,142.0,40.0,M,2.0,41333.14,5.0,8.0,Test,1,1,1,1,1,7
42983,42983,8164670,5.0,67.0,66.0,M,5.0,700396.88,6.0,9.0,Control,3,1,2,2,1,29
42984,42984,1896026,15.0,190.0,50.0,M,2.0,94981.3,1.0,4.0,Test,0,1,1,0,0,0
42985,42985,970062,7.0,94.0,58.0,U,2.0,34810.01,0.0,3.0,Test,0,1,2,3,2,10
42986,42986,5557932,11.0,140.0,28.0,M,2.0,43731.0,6.0,9.0,Test,2,5,2,1,1,14
42987,42987,3078880,6.0,72.0,24.0,U,3.0,44301.18,1.0,4.0,Control,1,2,3,3,2,0
42988,42988,6553321,15.0,185.0,48.0,M,2.0,146323.71,2.0,5.0,Control,1,1,1,1,1,3
42990,42990,8680792,11.0,143.0,56.0,U,2.0,37867.43,4.0,7.0,Test,1,2,1,1,1,5
42991,42991,3993886,16.0,193.0,60.0,F,2.0,34590.65,2.0,5.0,Test,1,3,1,1,1,12
42992,42992,3147904,14.0,176.0,52.0,F,2.0,113422.69,6.0,9.0,Test,1,1,2,2,1,4
42993,42993,1345360,13.0,166.0,44.0,F,2.0,78467.17,1.0,4.0,Control,1,2,2,2,1,15
42994,42994,7392265,5.0,65.0,34.0,U,2.0,30079.37,1.0,4.0,Test,1,1,1,1,1,3
42995,42995,8951521,24.0,291.0,32.0,M,4.0,40729.49,4.0,7.0,Test,2,2,2,1,1,3
42997,42997,7394445,5.0,66.0,26.0,U,2.0,30537.21,4.0,7.0,Test,0,2,1,1,0,1
42998,42998,4668962,13.0,157.0,52.0,M,2.0,65134.97,3.0,6.0,Test,1,5,2,2,1,15
42999,42999,4665224,6.0,83.0,56.0,U,2.0,88945.88,2.0,5.0,Test,1,1,1,2,1,4
43000,43000,1718738,8.0,102.0,32.0,U,2.0,33294.08,3.0,6.0,Test,2,6,4,3,6,6
43001,43001,6426294,7.0,94.0,24.0,U,2.0,37492.98,1.0,4.0,Control,1,4,3,1,1,0
43002,43002,7567135,13.0,162.0,49.0,M,2.0,32567.26,1.0,4.0,Control,1,1,1,1,1,2
43004,43004,6783713,4.0,56.0,30.0,F,2.0,30656.84,0.0,3.0,Test,1,1,1,1,1,2
43005,43005,7326173,8.0,99.0,27.0,F,2.0,65906.16,0.0,3.0,Control,0,1,1,0,0,0
43006,43006,3966408,12.0,151.0,58.0,M,2.0,441711.47,4.0,7.0,Control,2,1,1,1,1,4
43007,43007,8643954,11.0,141.0,67.0,M,2.0,40652.4,4.0,7.0,Control,0,3,1,0,0,8
43008,43008,886924,5.0,68.0,22.0,U,2.0,29328.18,4.0,7.0,Test,1,1,1,1,1,2
43009,43009,74564,4.0,56.0,58.0,U,2.0,69899.55,2.0,5.0,Test,0,2,1,1,1,3
43010,43010,2958543,11.0,132.0,54.0,M,2.0,147811.51,4.0,7.0,Test,1,4,2,1,1,15
43011,43011,2388642,20.0,246.0,53.0,M,2.0,207789.58,2.0,5.0,Test,1,3,1,1,1,2
43012,43012,2013566,7.0,90.0,20.0,U,2.0,39128.97,4.0,7.0,Control,1,1,1,1,3,1
43013,43013,3974422,6.0,82.0,64.0,U,2.0,119829.67,1.0,4.0,Test,1,3,2,2,3,2
43015,43015,456150,5.0,68.0,66.0,U,2.0,53183.08,2.0,5.0,Test,1,2,1,1,1,8
43016,43016,4674490,4.0,59.0,52.0,M,2.0,38555.27,5.0,8.0,Test,1,1,1,1,1,2
43017,43017,4592404,12.0,152.0,54.0,M,2.0,30702.1,2.0,5.0,Control,1,1,1,1,1,7
43018,43018,3466346,25.0,303.0,66.0,F,2.0,272994.87,4.0,7.0,Test,0,2,2,2,1,3
43019,43019,4141660,24.0,288.0,64.0,F,2.0,75912.42,3.0,6.0,Test,1,2,1,1,1,14
43020,43020,1334353,23.0,285.0,66.0,M,4.0,1629598.34,6.0,9.0,Test,1,2,1,1,1,7
43021,43021,6684015,22.0,273.0,25.0,U,2.0,87417.44,4.0,7.0,Test,1,1,1,1,1,1
43022,43022,5869920,23.0,283.0,69.0,F,2.0,143329.53,6.0,9.0,Test,0,6,2,0,0,2
43023,43023,5405835,21.0,263.0,71.0,F,2.0,45367.54,6.0,9.0,Test,0,3,2,2,2,35
43024,43024,8917050,21.0,262.0,52.0,F,2.0,69541.55,2.0,5.0,Test,6,4,4,3,2,19
43025,43025,6155943,21.0,262.0,80.0,M,3.0,1404291.95,4.0,8.0,Control,1,1,1,1,1,4
43027,43027,5479458,17.0,214.0,61.0,M,3.0,187210.09,4.0,7.0,Control,0,2,0,0,0,1
43028,43028,2359427,17.0,210.0,49.0,M,2.0,225183.54,4.0,7.0,Test,1,1,1,2,2,4
